"mindex","n","predictors","rsquare","adjr","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
191,5,"AGE NECK CHEST ABDOMEN WRIST",0.715599038180386,0.709674018142477,0.696610046702326,17.1902546855115,1402.61430620475,704.24774225627,1427.15162695628,4175.50064906222,17.38637233494,0.298621009910595,0.0710142723383682
192,5,"AGE ADIPOSITY NECK ABDOMEN WRIST",0.715362630501013,0.709432685303117,0.693785031204386,17.3990560369959,1402.81870822574,704.442314975495,1427.35602897727,4178.97152487203,17.4008247190323,0.298869237973937,0.0710733027974021
43,3,"HEIGHT ADIPOSITY ABDOMEN",0.712246500632735,0.708679308491818,0.69713789066753,16.1513021976199,1401.49721189361,703.120815161164,1419.02386957327,4189.66179844142,17.3074813598499,0.297266011743042,0.0706662309464412
113,4,"HEIGHT ADIPOSITY CHEST ABDOMEN",0.712449958775479,0.70767734398337,0.690981936773641,17.9716027255552,1403.32321433694,704.88960789719,1424.35520355254,4204.14404961417,17.4364765147733,0.299481578204792,0.0712047347714845
114,4,"AGE HEIGHT ADIPOSITY ABDOMEN",0.712301190105222,0.707526106123566,0.695220792950654,18.1029990469035,1403.45045350875,705.011775001832,1424.48244272434,4206.31913161786,17.445497558255,0.299636519848918,0.0712415736940693
193,5,"AGE HEIGHT NECK CHEST ABDOMEN",0.713295459755712,0.707322448500623,0.692859596177046,19.2248344825686,1404.59881997199,706.137057928651,1429.13614072351,4209.32118590517,17.5271977102758,0.301039767256502,0.0715894706237605
115,4,"AGE HEIGHT NECK ABDOMEN",0.711448859262603,0.706659628710945,0.694891090722731,18.8557996002628,1404.17817084723,705.710514867728,1425.21016006283,4218.78069004797,17.4971812466205,0.300524217116542,0.0714526325808209
116,4,"HEIGHT CHEST ABDOMEN WRIST",0.711382372561223,0.706592038495849,0.693718000823124,18.9145223673945,1404.23484657022,705.764936006843,1425.26683578582,4219.75276318278,17.5012128711761,0.300593462602212,0.071469096386277
194,5,"AGE HEIGHT ADIPOSITY CHEST ABDOMEN",0.712472446976466,0.706482289621809,0.688544083943838,19.9517405672236,1405.30397485517,706.808511460722,1429.8412956067,4221.40444459721,17.5775112061404,0.301903930674711,0.0717949750400235
117,4,"AGE CHEST ABDOMEN WRIST",0.711148856719358,0.706354646872376,0.694735440190821,19.1207695735077,1404.43380070642,705.955978211243,1425.46578992202,4223.16689671198,17.515372818694,0.300836667898096,0.0715269208731529
118,4,"HEIGHT NECK CHEST ABDOMEN",0.710772657015731,0.705972203190266,0.692243699371519,19.453038841382,1404.75398262758,706.263435585034,1425.78597184318,4228.66714890715,17.538184838714,0.301228477547932,0.0716200775286129
44,3,"AGE ABDOMEN WRIST",0.709394252236807,0.705791701644702,0.695836603977041,18.6704814451706,1403.92358891528,705.469792510497,1421.45024659495,4231.19024612446,17.4790352629466,0.300212549342141,0.0713666833972592
195,5,"AGE ADIPOSITY CHEST ABDOMEN WRIST",0.711492540360274,0.705481968284446,0.683881351905592,20.8172193297228,1406.1409283556,707.605549806935,1430.67824910713,4235.79117762986,17.6374161416708,0.302932832621712,0.0720396554899882
45,3,"HEIGHT NECK ABDOMEN",0.708619445413056,0.70500728977768,0.694000675782183,19.35481078831,1404.5785960537,706.103974511452,1422.10525373337,4242.4713549825,17.5256374925947,0.301012969614612,0.0715569597208018
119,4,"AGE ADIPOSITY ABDOMEN WRIST",0.709394495391617,0.7045711675143,0.689134969740682,20.6702666845792,1405.92338308278,707.386449457787,1426.95537229838,4248.81665042261,17.6217538853053,0.302663824301676,0.0719613455475613
46,3,"HEIGHT ABDOMEN WRIST",0.708177576168634,0.704559942815352,0.693441821434497,19.7450810860397,1404.95136457153,706.464904485165,1422.47802225119,4248.90492641544,17.5522145584797,0.301469446106783,0.0716654735499753
47,3,"NECK ABDOMEN WRIST",0.70215907152369,0.698466828608695,0.688155523484299,25.0607794047683,1409.97322510564,711.328215288549,1427.4998827853,4336.5337443103,17.914208964058,0.307686909582964,0.0731434922017971
